date,Low,Close
2019-02-21,81.88,82.17
2019-02-20,81.07,82.24
2019-02-19,81.76,82.75
2019-02-18,81.91,82.63
2019-02-17,82.2,82.2
2019-02-14,81.27,82.51
2019-02-13,79.86,81.26
2019-02-12,79.89,80.57
2019-02-11,78.55,80.04
2019-02-10,78.17,78.32
2019-02-07,77.65,78.82
2019-02-06,76.32,78.17
2019-02-05,75.73,76.65
2019-02-04,75.87,76.59
2019-02-03,77.65,77.99
2019-01-31,78.1,79.53
2019-01-30,78.67,79.73
2019-01-29,77.9,79.0
2019-01-28,77.67,79.13
2019-01-27,77.19,77.61
2019-01-24,77.55,77.81
2019-01-23,79.23,79.74
2019-01-22,79.94,80.22
2019-01-21,79.74,80.61
2019-01-20,78.92,79.86
2019-01-17,79.02,79.49
2019-01-16,78.07,78.99
2019-01-15,77.08,78.18
2019-01-14,76.29,77.57
2019-01-13,76.99,77.49
2019-01-10,77.07,77.4
2019-01-09,76.55,76.72
2019-01-08,77.4,78.0
2019-01-07,78.21,78.52
2019-01-06,76.06,76.42
2019-01-03,76.03,76.57
2019-01-02,76.26,76.38
2019-01-01,77.49,77.49
2013-12-31,77.49,77.49
2013-12-30,77.49,77.49
2013-12-27,77.41,77.95
2013-12-26,76.9,76.9
2013-12-25,76.9,76.9
2013-12-24,76.9,76.9
2013-12-23,76.51,76.9
2013-12-20,75.39,76.01
2013-12-19,74.83,75.25
2013-12-18,74.28,74.51
2013-12-17,74.25,74.25
2013-12-16,73.37,75.17
2013-12-13,73.46,73.65
2013-12-12,71.54,73.94
2013-12-11,74.2,74.36
2013-12-10,74.65,75.09
2013-12-09,75.28,75.62
2013-12-06,74.74,75.64
2013-12-05,74.93,74.96
2013-12-04,74.2,75.72
2013-12-03,77.08,77.26
2013-12-02,78.73,78.97
2013-11-29,77.9,78.6
2013-11-28,77.82,78.18
2013-11-27,77.37,78.0
2013-11-26,77.36,77.51
2013-11-25,76.82,77.69
2013-11-22,76.06,76.64
2013-11-21,76.1,76.75
2013-11-20,76.83,77.2
2013-11-19,77.04,77.53
2013-11-18,77.2,77.96
2013-11-15,77.56,78.0
2013-11-14,76.83,77.82
2013-11-13,75.5,76.26
2013-11-12,75.58,76.09
2013-11-11,75.37,75.87
2013-11-08,75.15,75.68
2013-11-07,75.16,76.17
2013-11-06,75.55,75.85
2013-11-05,75.36,75.83
2013-11-04,75.91,76.1
2013-11-01,75.91,76.58
2013-10-31,75.38,76.63
2013-10-30,75.55,75.83
2013-10-29,75.37,76.04
2013-10-28,75.2,75.69
2013-10-25,74.4,75.17
2013-10-24,73.54,74.19
2013-10-23,73.52,74.05
2013-10-22,73.26,73.97
2013-10-21,72.79,73.48
2013-10-18,72.7,73.51
2013-10-17,72.58,72.95
2013-10-16,71.88,73.11
2013-10-15,71.71,72.17
2013-10-14,71.01,71.45
2013-10-11,71.27,71.69
2013-10-10,70.05,71.57
2013-10-09,69.56,69.9
2013-10-08,69.73,70.05
2013-10-07,69.13,70.37
2013-10-04,70.26,70.76
2013-10-03,70.72,70.95
2013-10-02,70.95,71.54
2013-10-01,70.75,71.63
2013-09-30,69.87,70.9
2013-09-27,70.83,71.53
2013-09-26,71.56,72.09
2013-09-25,71.55,72.19
2013-09-24,71.83,72.35
2013-09-23,71.38,72.3
2013-09-20,71.92,71.99
2013-09-19,71.9,72.25
2013-09-18,71.75,72.16
2013-09-17,71.85,72.08
2013-09-16,70.51,72.34
2013-09-13,69.32,69.79
2013-09-12,69.26,69.82
2013-09-11,69.15,69.62
2013-09-10,67.73,69.39
2013-09-09,66.85,67.26
2013-09-06,65.86,66.85
2013-09-05,66.74,67.11
2013-09-04,66.75,67.87
2013-09-03,66.79,67.23
2013-09-02,66.98,67.6
2013-08-30,66.03,66.13
2013-08-29,66.07,66.75
2013-08-28,66.32,66.84
2013-08-27,67.89,68.1
2013-08-26,68.48,69.24
2013-08-23,67.83,69.03
2013-08-22,66.9,68.31
2013-08-21,66.55,67.04
2013-08-20,67.06,67.62
2013-08-19,67.57,67.98
2013-08-16,67.35,68.01
2013-08-15,66.93,67.79
2013-08-14,67.74,67.9
2013-08-13,66.8,67.93
2013-08-12,64.55,66.11
2013-08-09,64.09,64.79
2013-08-08,64.69,65.2
2013-08-07,64.67,65.02
2013-08-06,65.6,65.81
2013-08-05,65.98,66.66
2013-08-02,67.47,67.88
2013-08-01,67.1,67.59
2013-07-31,66.24,66.66
2013-07-30,67.08,67.44
2013-07-29,66.07,66.52
2013-07-26,65.59,65.87
2013-07-25,66.37,66.74
2013-07-24,69.12,69.86
2013-07-23,69.57,69.8
2013-07-22,69.8,70.17
2013-07-19,69.61,70.0
2013-07-18,69.8,70.68
2013-07-17,69.44,70.83
2013-07-16,69.96,70.09
2013-07-15,70.34,70.8
2013-07-12,70.14,70.46
2013-07-11,70.87,71.2
2013-07-10,68.75,69.95
2013-07-09,68.84,69.72
2013-07-08,67.34,69.1
2013-07-05,66.96,66.96
2013-07-04,67.54,69.04
2013-07-03,67.03,67.77
2013-07-02,67.89,68.25
2013-07-01,67.16,68.59
2013-06-28,68.1,68.63
2013-06-27,67.37,68.33
2013-06-26,68.98,69.72
2013-06-25,68.64,69.32
2013-06-24,67.83,68.42
2013-06-21,69.5,69.5
2013-06-20,70.7,70.93
2013-06-19,73.71,73.9
2013-06-18,73.1,74.36
2013-06-17,73.03,73.72
2013-06-14,72.61,72.81
2013-06-13,71.09,72.34
2013-06-12,72.67,72.87
2013-06-11,72.16,73.36
2013-06-10,72.49,73.9
2013-06-07,70.31,72.83
2013-06-06,71.36,71.58
2013-06-05,72.79,73.12
2013-06-04,74.79,75.1
2013-06-03,74.16,75.79
2013-05-31,74.12,75.23
2013-05-30,73.81,74.99
2013-05-29,73.83,74.7
2013-05-28,74.45,75.3
2013-05-27,73.4,74.22
2013-05-24,72.64,73.45
2013-05-23,73.12,74.26
2013-05-22,74.55,75.41
2013-05-21,73.79,75.35
2013-05-20,73.65,73.94
2013-05-17,73.5,74.42
2013-05-16,73.41,73.98
2013-05-15,72.86,73.58
2013-05-14,73.14,74.3
2013-05-13,72.61,73.99
2013-05-10,73.49,73.81
2013-05-09,72.96,74.06
2013-05-08,73.09,73.63
2013-05-07,72.71,73.76
2013-05-06,72.38,73.0
2013-05-03,71.09,73.34
2013-05-02,70.34,71.8
2013-05-01,70.92,70.92
2013-04-30,70.42,70.92
2013-04-29,69.41,70.73
2013-04-26,70.65,72.59
2013-04-25,68.39,70.0
2013-04-24,67.67,68.35
2013-04-23,65.26,67.66
2013-04-22,65.47,66.04
2013-04-19,65.31,65.63
2013-04-18,65.48,65.63
2013-04-17,65.18,65.55
2013-04-16,67.6,68.12
